Event/Description,EstMH (All),Interval,MH_j,max_interval
EO-PW-72-0193/W1629400 /TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
EO-PW-73-0020/W1541434 /REPETITIVE REPLACEMENT OF THE MAIN FUEL FILTER (PW1100G),0 days 04:00:00,Thr. 1'700,4.0,200
17762 (0) / B-LAB/BDD033/RI-LM/#1 ENG P770214 7 O`CLOCK POSITION 2 CRACKS REPEAT INSP,0 days 03:00:00,750,3.0,750
B-LAB/BDD032/RI-LM/#1 ENG P770214 REPEAT INSP (0) / B-LAB/BDD032/RI-LM/#1 ENG P770214 7O`CLOCK POSITION BURNBACK REPEAT,0 days 04:00:00,750,4.0,750
"HE32-242000-23-1-02 (R0005) / DISCARD NO.2 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
HE32-291000-14-1 (R0003) / CHECK NITROGEN CHARGE PRESSURE ON HYDRAULIC POWER ACCUMULATORS,0 days 00:44:00,600,0.7333333333333333,600
HE32-272400-01-1 (R0004) / OPERATIONAL CHECK OF RUDDER SERVOCONTROLS WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:30:00,750,0.5,750
HE32-730000-W1-1 (R0002) / CORRECT FAULTS OF THE ENGINE SCHEDULED MAINTENANCE REPORT (SMR),0 days 00:12:00,750,0.2,750
EO-PW-72-0193/W1606882 /TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
EO-PW-79-0034/REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,1'500,5.5,200
REPLACE 2758/201909890/W1616777 (BATTERY),0 days 02:06:00,,2.1,200
REPLACE 2758/202205672/W1616744 (BATTERY),0 days 02:06:00,,2.1,200
REPLACE 3214-31/943888/W1631346 (EPSU BATTERY),0 days 01:30:00,,1.5,200
REPLACE 3214-31/954400/W1631334 (EPSU BATTERY),0 days 01:30:00,,1.5,200
REPLACE 3214-31/960945/W1631328 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EOI-72-0001/W1240842 /ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
REPLACE 2758/202306387/W1635485 (BATTERY),0 days 02:06:00,,2.1,200
REPLACE 2758/202309351/W1635490 (BATTERY),0 days 02:06:00,,2.1,200
HE32-25-SCME-080 (R0004) / INSPECTION OF COCKPIT AND CABIN,0 days 08:00:00,1'000,8.0,200
HE32-256241-01-1 (R0003) / CHECK OF THE DOOR / EMERGENCY EXIT / OFFWING ESCAPE SLIDE/RAFT INFLATION RESERVOIR PRESSURE,0 days 00:52:00,1'000,0.8666666666666667,200
EO-VSB-26-0001/W1481298 /FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EO-VSB-26-0001/W1481300 /FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EO-VSB-26-0001/W1481302 /FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EO-VSB-26-0001/W1481304 /FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
"HE32-242000-23-1-02 (R0005) / DISCARD NO.2 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
HE32-212300-02-1 (R0004) / DISCARD LAVATORY AIR EXTRACTION FILTER ELEMENT,0 days 00:30:00,1'000,0.5,200
"HE32-381000-01-1 (R0002) / DISINFECTION OF POTABLE WATER SYSTEM AND DISCARD THE WATER FILTER ELEMENTS, IF INSTALLED",0 days 07:08:00,91 D,7.133333333333334,200
EO-PW-79-0034/REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,1'500,5.5,200
EO-A320-73-1155-2/W1625626 /UPGRADE EIU SOFTWARE TO STANDARD S4.5 (CONF 002 – NEO PW),0 days 03:00:00,Before 31.Dec.2025,3.0,200
EO-A320-73-1155-2/W1625633 /UPGRADE EIU SOFTWARE TO STANDARD S4.5 (CONF 002 – NEO PW),0 days 03:00:00,Before 31.Dec.2025,3.0,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
EO-PW-79-0034/REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,1'500,5.5,200
